"param_num","magnitude","noise","confounding","method_group","degree","mean_bias","abs_mean_bias","variance","rmse","aipw_abs_mean_bias","abs_bias_diff_vs_aipw","bias_ratio_vs_aipw","lower_bias_than_aipw","unstable"
22,1,0,1,"AIPW",0,-0.470056027,0.538621243,0.166031063,0.619405449,0.538621243,0,1,FALSE,FALSE
22,1,0,1,"HOIF_shrinkage_sigma",1,-0.996961142,1.031585008,0.374998382,1.166803296,0.538621243,0.492963765,1.91523268234706,FALSE,FALSE
22,1,0,1,"HOIF_shrinkage_sigma",2,-2693570.364,172710020.6,4.27797e+17,647494026.8,0.538621243,172710020.061379,320652077.586179,FALSE,TRUE
22,1,0,1,"HOIF_shrinkage_sigma",3,30.85346469,87.58527427,174927.3794,415.18763,0.538621243,87.046653027,162.61013728714,FALSE,TRUE
22,1,0,1,"HOIF_standard_sigma",1,-0.999864627,1.033958374,0.374814676,1.169208132,0.538621243,0.495337131,1.91963905515698,FALSE,FALSE
22,1,0,1,"HOIF_standard_sigma",2,-5.945558627,23.71055648,1317.738459,36.42435115,0.538621243,23.171935237,44.0208342841019,FALSE,TRUE
22,1,0,1,"HOIF_standard_sigma",3,-101.5592771,421.5845883,262095.3667,516.8827199,0.538621243,421.045967057,782.710659445714,FALSE,TRUE
23,1,1,0,"AIPW",0,-0.012342932,0.058718816,0.005188918,0.072370491,0.058718816,0,1,FALSE,FALSE
23,1,1,0,"HOIF_shrinkage_sigma",1,-0.038808346,0.081128244,0.007675943,0.095018484,0.058718816,0.022409428,1.38163964341515,FALSE,FALSE
23,1,1,0,"HOIF_shrinkage_sigma",2,-2.479614701,10.35368786,1121.506331,33.24491981,0.058718816,10.294969044,176.326577497748,FALSE,TRUE
23,1,1,0,"HOIF_shrinkage_sigma",3,-29.34373977,137.3323579,282168.3595,526.6745175,0.058718816,137.273639084,2338.81347164766,FALSE,TRUE
23,1,1,0,"HOIF_standard_sigma",1,-0.038963371,0.081311134,0.007697014,0.095190432,0.058718816,0.022592318,1.38475431793448,FALSE,FALSE
23,1,1,0,"HOIF_standard_sigma",2,-0.173683071,0.231117975,0.058526254,0.295840392,0.058718816,0.172399159,3.93601218049083,FALSE,FALSE
23,1,1,0,"HOIF_standard_sigma",3,0.252777116,233.962937,168767.5457,406.6844706,0.058718816,233.904218184,3984.46278276456,FALSE,TRUE
24,1,1,1,"AIPW",0,-0.488776911,0.609244663,0.234959703,0.684955019,0.609244663,0,1,FALSE,FALSE
24,1,1,1,"HOIF_shrinkage_sigma",1,-1.037143724,1.098762797,0.495266552,1.249411192,0.609244663,0.489518134,1.80348366383638,FALSE,FALSE
24,1,1,1,"HOIF_shrinkage_sigma",2,267038557,361204455.1,2.38489e+18,1551934339,0.609244663,361204454.490755,592872579.82923,FALSE,TRUE
24,1,1,1,"HOIF_shrinkage_sigma",3,132.6929696,493.7588022,5576025.111,2341.391047,0.609244663,493.149557537,810.444197850938,FALSE,TRUE
24,1,1,1,"HOIF_standard_sigma",1,-1.040129659,1.101516028,0.496652725,1.252433382,0.609244663,0.492271365,1.80800275307459,FALSE,FALSE
24,1,1,1,"HOIF_standard_sigma",2,-9.751409943,57.38298672,8102.639746,89.64193743,0.609244663,56.773742057,94.1870979015864,FALSE,TRUE
24,1,1,1,"HOIF_standard_sigma",3,-135.2298188,1329.760372,3421109.371,1836.02132,0.609244663,1329.151127337,2182.63770330311,FALSE,TRUE
