"param_num","sim_num","model","estimator","basis_dim","sigma_type","AIPW_estimate","HOIF_correction","ATE_estimate","true_ATE","bias","magnitude","noise","confounding"
17,1,"glm","AIPW",NA,NA,0.114862538467775,NA,0.114862538467775,0.125600495893383,-0.0107379574256081,0,0,0
17,1,"glm","HOIF_basis_dim25",25,"tr1",0.114862538467775,-0.0196529957164856,0.0952095427512892,0.125600495893383,-0.0303909531420937,0,0,0
17,1,"glm","HOIF_basis_dim261",261,"tr2",0.114862538467775,-0.136779506397794,-0.0219169679300194,0.125600495893383,-0.147517463823402,0,0,0
17,1,"glm","HOIF_basis_dim1485",1485,"tr3",0.114862538467775,11.5531308795978,11.6679934180656,0.125600495893383,11.5423929221722,0,0,0
17,1,"glm","HOIF_basis_dim25",25,"nlshrink1",0.114862538467775,-0.0197193038556601,0.0951432346121147,0.125600495893383,-0.0304572612812682,0,0,0
17,1,"glm","HOIF_basis_dim261",261,"nlshrink2",0.114862538467775,-0.0774667993117377,0.0373957391560371,0.125600495893383,-0.0882047567373458,0,0,0
17,1,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.114862538467775,0.0606355158892479,0.175498054357023,0.125600495893383,0.0498975584636398,0,0,0
17,2,"glm","AIPW",NA,NA,0.160224489700455,NA,0.160224489700455,0.125600495893383,0.0346239938070725,0,0,0
17,2,"glm","HOIF_basis_dim25",25,"tr1",0.160224489700455,-0.00630988301183908,0.153914606688616,0.125600495893383,0.0283141107952334,0,0,0
17,2,"glm","HOIF_basis_dim261",261,"tr2",0.160224489700455,-0.1778299328982,-0.0176054431977451,0.125600495893383,-0.143205939091128,0,0,0
17,2,"glm","HOIF_basis_dim1485",1485,"tr3",0.160224489700455,-115.984481329819,-115.824256840119,0.125600495893383,-115.949857336012,0,0,0
17,2,"glm","HOIF_basis_dim25",25,"nlshrink1",0.160224489700455,-0.00688967274197795,0.153334816958477,0.125600495893383,0.0277343210650945,0,0,0
17,2,"glm","HOIF_basis_dim261",261,"nlshrink2",0.160224489700455,-8.3382177179573,-8.17799322825684,0.125600495893383,-8.30359372415022,0,0,0
17,2,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.160224489700455,-0.141104251570381,0.0191202381300744,0.125600495893383,-0.106480257763308,0,0,0
17,3,"glm","AIPW",NA,NA,0.110496090184687,NA,0.110496090184687,0.125600495893383,-0.0151044057086962,0,0,0
17,3,"glm","HOIF_basis_dim25",25,"tr1",0.110496090184687,-0.0262148196621632,0.0842812705225235,0.125600495893383,-0.0413192253708594,0,0,0
17,3,"glm","HOIF_basis_dim261",261,"tr2",0.110496090184687,-0.172839548849314,-0.0623434586646269,0.125600495893383,-0.18794395455801,0,0,0
17,3,"glm","HOIF_basis_dim1485",1485,"tr3",0.110496090184687,-62.8373990716563,-62.7269029814716,0.125600495893383,-62.852503477365,0,0,0
17,3,"glm","HOIF_basis_dim25",25,"nlshrink1",0.110496090184687,-0.0261080662190823,0.0843880239656045,0.125600495893383,-0.0412124719277784,0,0,0
17,3,"glm","HOIF_basis_dim261",261,"nlshrink2",0.110496090184687,-9.55200572059259,-9.4415096304079,0.125600495893383,-9.56711012630128,0,0,0
17,3,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.110496090184687,-0.154353611127685,-0.0438575209429987,0.125600495893383,-0.169458016836382,0,0,0
17,4,"glm","AIPW",NA,NA,0.0965196688446795,NA,0.0965196688446795,0.125600495893383,-0.0290808270487034,0,0,0
17,4,"glm","HOIF_basis_dim25",25,"tr1",0.0965196688446795,-0.0317101706227902,0.0648094982218893,0.125600495893383,-0.0607909976714936,0,0,0
17,4,"glm","HOIF_basis_dim261",261,"tr2",0.0965196688446795,-0.116257990755017,-0.0197383219103374,0.125600495893383,-0.14533881780372,0,0,0
